"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,3116-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,3116-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,3116-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,3116-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,3116-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,3116-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,3116-questionnaire.csv 
,,9,3116-questionnaire.csv 
label,selection,val,3274-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3274-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,3274-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,3274-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,3274-questionnaire.csv 
"Has it often upset you a lot?","No",0,3274-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3274-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3274-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,3274-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,3274-questionnaire.csv 
"What is your gender identity?","Male",2,3274-questionnaire.csv 
,,3,3274-questionnaire.csv 
label,selection,val,3280-questionnaire.csv 
"Are you worried about how you look?","No",0,3280-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,3280-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,3280-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,3280-questionnaire.csv 
"Has it often upset you a lot?","No",0,3280-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3280-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3280-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,3280-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,3280-questionnaire.csv 
"What is your gender identity?","Female",1,3280-questionnaire.csv 
,,1,3280-questionnaire.csv 
label,selection,val,3335-questionnaire.csv 
"Are you worried about how you look?","No",0,3335-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,3335-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,3335-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,3335-questionnaire.csv 
"Has it often upset you a lot?","No",0,3335-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3335-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3335-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,3335-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,3335-questionnaire.csv 
"What is your gender identity?","Female",1,3335-questionnaire.csv 
,,3,3335-questionnaire.csv 
label,selection,val,3339-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3339-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,3339-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,3339-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,3339-questionnaire.csv 
"Has it often upset you a lot?","No",0,3339-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3339-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3339-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,3339-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,3339-questionnaire.csv 
"What is your gender identity?","Female",1,3339-questionnaire.csv 
,,7,3339-questionnaire.csv 
label,selection,val,3479-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3479-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,3479-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,3479-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,3479-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,3479-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3479-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3479-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,3479-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,3479-questionnaire.csv 
"What is your gender identity?","Female",1,3479-questionnaire.csv 
,,5,3479-questionnaire.csv 
label,selection,val,3568-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3568-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,3568-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,3568-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,3568-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,3568-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,3568-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,3568-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,3568-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,3568-questionnaire.csv 
"What is your gender identity?","Female",1,3568-questionnaire.csv 
,,10,3568-questionnaire.csv 
label,selection,val,3815-questionnaire.csv 
"Are you worried about how you look?","Yes",1,3815-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,3815-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,3815-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,3815-questionnaire.csv 
"Has it often upset you a lot?","No",0,3815-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,3815-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,3815-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,3815-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,3815-questionnaire.csv 
"What is your gender identity?","Male",2,3815-questionnaire.csv 
,,3,3815-questionnaire.csv 
label,selection,val,4311-questionnaire.csv 
"Are you worried about how you look?","Yes",1,4311-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,4311-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,4311-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,4311-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,4311-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,4311-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,4311-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,4311-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,4311-questionnaire.csv 
"What is your gender identity?","Female",1,4311-questionnaire.csv 
,,5,4311-questionnaire.csv 
label,selection,val,4314-questionnaire.csv 
"Are you worried about how you look?","No",0,4314-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,4314-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,4314-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,4314-questionnaire.csv 
"Has it often upset you a lot?","No",0,4314-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,4314-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,4314-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,4314-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,4314-questionnaire.csv 
"What is your gender identity?","Female",1,4314-questionnaire.csv 
,,2,4314-questionnaire.csv 
label,selection,val,4379-questionnaire.csv 
"Are you worried about how you look?","No",0,4379-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,4379-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,4379-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,4379-questionnaire.csv 
"Has it often upset you a lot?","No",0,4379-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,4379-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,4379-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,4379-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,4379-questionnaire.csv 
"What is your gender identity?","Female",1,4379-questionnaire.csv 
,,2,4379-questionnaire.csv 
label,selection,val,4435-questionnaire.csv 
"Are you worried about how you look?","Yes",1,4435-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,4435-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,4435-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,4435-questionnaire.csv 
"Has it often upset you a lot?","No",0,4435-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,4435-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,4435-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,4435-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,4435-questionnaire.csv 
"What is your gender identity?","Female",1,4435-questionnaire.csv 
,,6,4435-questionnaire.csv 
label,selection,val,4484-questionnaire.csv 
"Are you worried about how you look?","Yes",1,4484-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,4484-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,4484-questionnaire.csv 
"Has this problem with how you look affected your life?","Yes",1,4484-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,4484-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,4484-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,4484-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,4484-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","More Than Three Hours",2,4484-questionnaire.csv 
"What is your gender identity?","Female",1,4484-questionnaire.csv 
,,11,4484-questionnaire.csv 
label,selection,val,4487-questionnaire.csv 
"Are you worried about how you look?","Yes",1,4487-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,4487-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,4487-questionnaire.csv 
